n,counting_ub,k_max_certified,witness_mod_n
2,1,1,"0"
3,2,2,"0;1"
4,2,2,"0;1"
5,2,2,"0;1"
6,2,2,"0;1"
7,3,3,"0;1;3"
8,3,3,"0;1;3"
9,3,3,"0;1;3"
10,3,3,"0;1;3"
11,3,3,"0;1;3"
12,3,3,"0;1;3"
13,4,4,"0;1;3;9"
14,4,4,"0;1;4;6"
15,4,4,"0;1;3;7"
16,4,4,"0;1;3;7"
17,4,4,"0;1;3;7"
18,4,4,"0;1;3;7"
19,4,4,"0;1;3;7"
20,4,4,"0;1;3;7"
21,5,5,"0;1;4;14;16"
22,5,4,"0;1;3;7"
23,5,5,"0;1;3;8;14"
24,5,5,"0;1;3;9;20"
25,5,5,"0;1;3;7;12"
26,5,5,"0;1;3;7;12"
27,5,5,"0;1;3;7;12"
28,5,5,"0;1;3;7;12"
29,5,5,"0;1;3;7;12"
30,5,5,"0;1;3;7;12"
31,6,6,"0;1;3;8;12;18"
32,6,5,"0;1;3;7;12"
33,6,5,"0;1;3;7;12"
34,6,5,"0;1;3;7;12"
35,6,6,"0;1;3;7;12;20"
36,6,6,"0;1;3;8;23;27"
37,6,6,"0;1;3;7;16;26"
38,6,6,"0;1;3;7;17;30"
39,6,6,"0;1;3;7;12;22"
40,6,6,"0;1;3;7;17;28"
41,6,6,"0;1;3;7;12;20"
42,6,6,"0;1;3;7;12;20"
43,7,6,"0;1;3;7;12;20"
44,7,6,"0;1;3;7;12;20"
45,7,6,"0;1;3;7;12;20"
46,7,6,"0;1;3;7;12;20"
47,7,6,"0;1;3;7;12;20"
48,7,7,"0;1;3;15;20;38;42"
49,7,7,"0;1;3;7;27;35;40"
50,7,7,"0;1;3;8;14;18;30"
51,7,7,"0;1;3;7;12;20;30"
52,7,7,"0;1;3;7;12;22;35"
53,7,7,"0;1;3;7;12;22;40"
54,7,7,"0;1;3;7;16;26;37"
55,7,7,"0;1;3;7;12;20;30"
56,7,7,"0;1;3;7;12;20;41"
57,8,8,"0;1;3;13;32;36;43;52"
58,8,7,"0;1;3;7;12;20;43"
59,8,7,"0;1;3;7;12;20;34"
60,8,7,"0;1;3;7;12;20;38"
61,8,7,"0;1;3;7;12;20;30"
62,8,7,"0;1;3;7;12;20;30"
63,8,8,"0;1;3;7;15;20;31;41"
64,8,8,"0;1;3;8;19;25;29;52"
65,8,8,"0;1;3;11;15;20;36;42"
66,8,8,"0;1;3;7;12;20;41;51"
67,8,8,"0;1;3;7;12;20;30;46"
68,8,8,"0;1;3;7;12;20;43;53"
69,8,8,"0;1;3;7;12;22;30;56"
70,8,8,"0;1;3;7;12;22;45;53"
71,8,8,"0;1;3;7;12;22;30;46"
72,8,8,"0;1;3;7;12;20;34;49"
73,9,9,"0;1;3;7;15;31;36;54;63"
74,9,8,"0;1;3;7;12;20;45;59"
75,9,8,"0;1;3;7;12;20;34;50"
76,9,8,"0;1;3;7;12;20;30;51"
77,9,8,"0;1;3;7;12;20;30;44"
78,9,8,"0;1;3;7;12;20;47;57"
79,9,8,"0;1;3;7;12;20;30;44"
80,9,9,"0;1;3;9;22;27;34;38;66"
81,9,8,"0;1;3;7;12;20;30;45"
82,9,8,"0;1;3;7;12;20;34;59"
83,9,8,"0;1;3;7;12;20;30;44"
84,9,8,"0;1;3;7;12;20;30;51"
85,9,9,"0;1;3;8;14;29;33;49;76"
86,9,9,"0;1;3;8;17;36;42;63;74"
87,9,9,"0;1;3;7;17;36;49;67;79"
88,9,9,"0;1;3;7;27;41;52;60;73"
89,9,9,"0;1;3;7;12;20;35;49;65"
90,9,9,"0;1;3;7;20;28;51;61;75"
91,10,10,"0;1;3;9;27;49;56;61;77;81"
92,10,9,"0;1;3;7;12;20;43;67;77"
93,10,9,"0;1;3;7;12;20;34;49;70"
94,10,9,"0;1;3;7;15;24;35;40;53"
95,10,9,"0;1;3;7;12;20;34;44;60"
96,10,9,"0;1;3;7;12;20;30;46;61"
97,10,9,"0;1;3;7;12;20;30;45;61"
98,10,9,"0;1;3;7;12;20;30;46;77"
99,10,9,"0;1;3;7;12;20;30;46;78"
100,10,9,"0;1;3;7;12;20;30;64;79"
101,10,9,"0;1;3;7;12;20;30;56;70"
102,10,9,"0;1;3;7;12;20;30;44;69"
103,10,9,"0;1;3;7;12;20;30;45;69"
104,10,9,"0;1;3;7;12;20;30;44;65"
105,10,9,"0;1;3;7;12;20;30;44;70"
106,10,9,"0;1;3;7;12;20;30;45;66"
107,10,10,"0;1;3;8;20;46;68;74;83;97"
108,10,10,"0;1;3;12;26;39;46;61;79;103"
109,10,10,"0;1;3;7;12;42;59;78;88;96"
110,10,10,"0;1;3;7;17;37;49;84;89;102"
