config,m,n,seed,algo,K_mult,cmax,lb,gap_pct,time_ms,assign_sha16
eval-m2-n30,2,30,3000,lpt,,696,696,0.000000,0.050,969d71936ddf34ee
eval-m2-n30,2,30,3000,multifit,,696,696,0.000000,0.063,ab736b995a0855f5
eval-m2-n30,2,30,3000,lpt_ls,,696,696,0.000000,0.106,969d71936ddf34ee
eval-m2-n30,2,30,3000,rol,4,696,696,0.000000,0.097,969d71936ddf34ee
eval-m2-n30,2,30,3001,lpt,,857,855,0.233918,0.019,178a5e9ef88bab2f
eval-m2-n30,2,30,3001,multifit,,855,855,0.000000,0.054,a87c23a0516f65dc
eval-m2-n30,2,30,3001,lpt_ls,,855,855,0.000000,0.094,0b9b2fa2d1ddb744
eval-m2-n30,2,30,3001,rol,4,857,855,0.233918,0.081,178a5e9ef88bab2f
eval-m2-n30,2,30,3002,lpt,,718,717,0.139470,0.017,5f55c0c8949c263f
eval-m2-n30,2,30,3002,multifit,,717,717,0.000000,0.056,1c078223708c8009
eval-m2-n30,2,30,3002,lpt_ls,,717,717,0.000000,0.087,4cc442f56fbbd2d4
eval-m2-n30,2,30,3002,rol,4,717,717,0.000000,0.079,5ef20eb8716bdcd3
eval-m2-n30,2,30,3003,lpt,,759,759,0.000000,0.016,05bd54afa040e9c2
eval-m2-n30,2,30,3003,multifit,,761,759,0.263505,0.049,3c8a9933b57d9248
eval-m2-n30,2,30,3003,lpt_ls,,759,759,0.000000,0.059,05bd54afa040e9c2
eval-m2-n30,2,30,3003,rol,4,759,759,0.000000,0.074,05bd54afa040e9c2
eval-m2-n30,2,30,3004,lpt,,804,804,0.000000,0.017,9e1cdf60ac9a4b05
eval-m2-n30,2,30,3004,multifit,,804,804,0.000000,0.054,41f1392b0c198a52
eval-m2-n30,2,30,3004,lpt_ls,,804,804,0.000000,0.042,9e1cdf60ac9a4b05
eval-m2-n30,2,30,3004,rol,4,804,804,0.000000,0.072,9e1cdf60ac9a4b05
eval-m2-n30,2,30,3005,lpt,,806,806,0.000000,0.015,7f607cf2e7295b1b
eval-m2-n30,2,30,3005,multifit,,806,806,0.000000,0.052,11279a11e722832c
eval-m2-n30,2,30,3005,lpt_ls,,806,806,0.000000,0.053,7f607cf2e7295b1b
eval-m2-n30,2,30,3005,rol,4,806,806,0.000000,0.075,7f607cf2e7295b1b
eval-m2-n30,2,30,3006,lpt,,709,709,0.000000,0.016,3cd04f8cf0a79da6
eval-m2-n30,2,30,3006,multifit,,709,709,0.000000,0.053,7c77ccbde4722042
eval-m2-n30,2,30,3006,lpt_ls,,709,709,0.000000,0.058,3cd04f8cf0a79da6
eval-m2-n30,2,30,3006,rol,4,709,709,0.000000,0.077,3cd04f8cf0a79da6
eval-m2-n30,2,30,3007,lpt,,680,680,0.000000,0.016,febf00399ccab706
eval-m2-n30,2,30,3007,multifit,,680,680,0.000000,0.054,2b8cf341e0efb497
eval-m2-n30,2,30,3007,lpt_ls,,680,680,0.000000,0.043,febf00399ccab706
eval-m2-n30,2,30,3007,rol,4,680,680,0.000000,0.073,febf00399ccab706
eval-m2-n30,2,30,3008,lpt,,754,753,0.132802,0.016,766b7937066a56ad
eval-m2-n30,2,30,3008,multifit,,754,753,0.132802,0.053,0c7992a0282af37b
eval-m2-n30,2,30,3008,lpt_ls,,753,753,0.000000,0.078,0d52ecb69ff3b220
eval-m2-n30,2,30,3008,rol,4,753,753,0.000000,0.080,ebb3f8ec39abfd38
eval-m2-n30,2,30,3009,lpt,,802,800,0.250000,0.015,97a712fad19314df
eval-m2-n30,2,30,3009,multifit,,800,800,0.000000,0.051,a9b026419d06a4d2
eval-m2-n30,2,30,3009,lpt_ls,,800,800,0.000000,0.060,4f6485b337ac0e2b
eval-m2-n30,2,30,3009,rol,4,802,800,0.250000,0.075,97a712fad19314df
eval-m2-n30,2,30,3010,lpt,,803,802,0.124688,0.015,fbe321139d0ba51b
eval-m2-n30,2,30,3010,multifit,,802,802,0.000000,0.051,cde50461a620946f
eval-m2-n30,2,30,3010,lpt_ls,,802,802,0.000000,0.058,2509a3583a681ba4
eval-m2-n30,2,30,3010,rol,4,802,802,0.000000,0.074,73b81cf6f33dacea
eval-m2-n30,2,30,3011,lpt,,764,763,0.131062,0.014,71ea4da4efaac2d9
eval-m2-n30,2,30,3011,multifit,,764,763,0.131062,0.050,28aeeff7b962b423
eval-m2-n30,2,30,3011,lpt_ls,,763,763,0.000000,0.056,78af83a0cff66f2c
eval-m2-n30,2,30,3011,rol,4,763,763,0.000000,0.086,6aaff0853bb2f823
eval-m2-n30,2,30,3012,lpt,,707,707,0.000000,0.017,c2fec23dc0d05184
eval-m2-n30,2,30,3012,multifit,,707,707,0.000000,0.054,222a89b66d6374df
eval-m2-n30,2,30,3012,lpt_ls,,707,707,0.000000,0.058,c2fec23dc0d05184
eval-m2-n30,2,30,3012,rol,4,707,707,0.000000,0.077,c2fec23dc0d05184
eval-m2-n30,2,30,3013,lpt,,694,694,0.000000,0.016,32346029c9f0196a
eval-m2-n30,2,30,3013,multifit,,694,694,0.000000,0.052,e3fcd7a150b7cadc
eval-m2-n30,2,30,3013,lpt_ls,,694,694,0.000000,0.054,32346029c9f0196a
eval-m2-n30,2,30,3013,rol,4,694,694,0.000000,0.076,32346029c9f0196a
eval-m2-n30,2,30,3014,lpt,,613,613,0.000000,0.015,3189abe36987b91f
eval-m2-n30,2,30,3014,multifit,,613,613,0.000000,0.053,4290b8370be3c668
eval-m2-n30,2,30,3014,lpt_ls,,613,613,0.000000,0.053,3189abe36987b91f
eval-m2-n30,2,30,3014,rol,4,613,613,0.000000,0.073,3189abe36987b91f
eval-m2-n30,2,30,3015,lpt,,719,718,0.139276,0.015,87fe301e140c3d7c
eval-m2-n30,2,30,3015,multifit,,718,718,0.000000,0.051,2f9bcbf8a9fa7d65
eval-m2-n30,2,30,3015,lpt_ls,,718,718,0.000000,0.073,15fcceac63d4b0f3
eval-m2-n30,2,30,3015,rol,4,718,718,0.000000,0.074,23f189bc3283ada1
eval-m2-n30,2,30,3016,lpt,,780,780,0.000000,0.015,6a7ce838420b197f
eval-m2-n30,2,30,3016,multifit,,781,780,0.128205,0.053,905ca485f8b3d812
eval-m2-n30,2,30,3016,lpt_ls,,780,780,0.000000,0.040,6a7ce838420b197f
eval-m2-n30,2,30,3016,rol,4,780,780,0.000000,0.074,6a7ce838420b197f
eval-m2-n30,2,30,3017,lpt,,804,802,0.249377,0.016,3b71ecbb9e011d0a
eval-m2-n30,2,30,3017,multifit,,803,802,0.124688,0.052,a2d3b7e42be98790
eval-m2-n30,2,30,3017,lpt_ls,,802,802,0.000000,0.062,1f0a3b16b478d42b
eval-m2-n30,2,30,3017,rol,4,804,802,0.249377,0.088,3b71ecbb9e011d0a
eval-m2-n30,2,30,3018,lpt,,746,746,0.000000,0.015,61651573ceae93c2
eval-m2-n30,2,30,3018,multifit,,747,746,0.134048,0.051,6d434784135f08b4
eval-m2-n30,2,30,3018,lpt_ls,,746,746,0.000000,0.053,61651573ceae93c2
eval-m2-n30,2,30,3018,rol,4,746,746,0.000000,0.075,61651573ceae93c2
eval-m2-n30,2,30,3019,lpt,,779,779,0.000000,0.014,97241ce83f594602
eval-m2-n30,2,30,3019,multifit,,779,779,0.000000,0.052,c8c49c22767ecd44
eval-m2-n30,2,30,3019,lpt_ls,,779,779,0.000000,0.039,97241ce83f594602
eval-m2-n30,2,30,3019,rol,4,779,779,0.000000,0.074,97241ce83f594602
eval-m2-n30,2,30,3020,lpt,,541,540,0.185185,0.014,391f7f39774d595c
eval-m2-n30,2,30,3020,multifit,,541,540,0.185185,0.055,58830ca3fe87a532
eval-m2-n30,2,30,3020,lpt_ls,,541,540,0.185185,0.038,391f7f39774d595c
